,open,low,high,close,price_change,change_percent,date,shamsi_date
942,"34,110","33,800","34,830","34,800",130,0.37%,2014/12/16,1393/09/25
943,"34,750","34,750","35,100","34,930",70,0.2%,2014/12/17,1393/09/26
944,"34,910","34,910","35,140","35,000",60,0.17%,2014/12/18,1393/09/27
945,"35,010","34,940","35,050","34,940",160,0.46%,2014/12/19,1393/09/28
946,"34,960","34,860","35,230","35,100",30,0.09%,2014/12/20,1393/09/29
947,"35,130","35,060","35,130","35,070",460,1.31%,2014/12/21,1393/09/30
948,"35,110","35,110","35,600","35,530",30,0.08%,2014/12/22,1393/10/01
949,"35,580","35,550","35,610","35,560",170,0.48%,2014/12/23,1393/10/02
950,"35,630","35,300","35,870","35,730",140,0.39%,2014/12/24,1393/10/03
951,"35,680","35,500","35,720","35,590",200,0.57%,2014/12/25,1393/10/04
952,"35,580","35,390","35,580","35,390",190,0.54%,2014/12/26,1393/10/05
953,"35,380","35,380","35,650","35,580",50,0.14%,2014/12/27,1393/10/06
954,"35,560","35,480","35,740","35,530",40,0.11%,2014/12/28,1393/10/07
955,"35,590","35,440","35,640","35,490",280,0.8%,2014/12/29,1393/10/08
956,"35,500","35,120","35,560","35,210",200,0.57%,2014/12/30,1393/10/09
957,"35,200","34,920","35,200","35,010",-,-,2014/12/31,1393/10/10
958,"35,000","34,950","35,030","35,010",50,0.14%,2015/01/01,1393/10/11
959,"35,000","34,950","35,000","34,960",130,0.37%,2015/01/02,1393/10/12
960,"34,930","34,770","35,100","35,090",120,0.34%,2015/01/03,1393/10/13
961,"35,080","35,080","35,440","35,210",90,0.26%,2015/01/04,1393/10/14
962,"35,220","35,060","35,330","35,120",120,0.34%,2015/01/05,1393/10/15
963,"35,140","35,130","35,260","35,240",110,0.31%,2015/01/06,1393/10/16
964,"35,260","35,110","35,260","35,130",130,0.37%,2015/01/07,1393/10/17
965,"35,140","35,000","35,140","35,000",30,0.09%,2015/01/08,1393/10/18
966,"35,020","34,960","35,020","34,970",30,0.09%,2015/01/09,1393/10/19
967,"34,980","34,880","35,090","34,940",80,0.23%,2015/01/10,1393/10/20
968,"34,930","34,830","34,960","34,860",160,0.46%,2015/01/11,1393/10/21
969,"34,850","34,660","34,860","34,700",200,0.58%,2015/01/12,1393/10/22
970,"34,690","34,460","34,690","34,500",20,0.06%,2015/01/13,1393/10/23
971,"34,490","34,380","34,570","34,520",20,0.06%,2015/01/14,1393/10/24
972,"34,530","34,500","34,580","34,500",50,0.15%,2015/01/15,1393/10/25
